Identificador,ual_prov,ual_cant,ual_parr,ual_estr,ual_segm,al_ncues,ct_numt,ct_numl,rc_clacul,ct_k504,ct_k505,ct_prepa_suelo,ct_k506,ct_k507,ct_k508,ct_k509,ct_k510,ct_k510ha,ct_k511,ct_k511ha,ct_k512,ct_k516,ct_k517,ct_k518,ct_k520,ct_afecta_prod,ct_k522,ct_k523,ct_k524,ct_k526,ct_venmernac,ct_venmerint,ct_rdproven1,ct_rdproven2,ct_rdproven3,ct_rdproven4,ct_rdproven5,ct_rdproven6,ct_fconvf,ct_fconvs,ct_seg_agri,ct_kits_agri,ct_presueuti,ct_riego,ct_superf_regada_ha,ct_porc_surc,ct_porc_aspe,ct_porc_micr,ct_porc_gote,ct_porc_nebu,ct_porc_otro,ct_aferti,ct_forg,ct_cant1_fo,ct_umed1_fo,ct_cant2_fo,ct_umed2_fo,ct_cant3_fo,ct_umed3_fo,ct_fqui,ct_cantidad_npk_fq,ct_umed_npk_fq,ct_cantidad_nit_fq,ct_umed_nit_fq,ct_cantidad_fq,ct_umed_fq,ct_cantidad_pot_fq,ct_umed_pot_fq,ct_afito,ct_porg,ct_cantidad_po,ct_umed_po,ct_pqui,ct_cantidad_her_pq,ct_umed_her_pq,ct_color_her_pq,ct_cantidad_ins_pq,ct_umed_ins_pq,ct_color_ins_pq,ct_cantidad_fun_pq,ct_umed_fun_pq,ct_color_fun_pq,ct_cantidad_pq,ct_umed_pq,ct_color_pq,ct_trabocacont,ct_trabfami,ct_piensasem_int,ct_supersem_int,ct_supersemha_int,ct_messiem_int,ct_condcult_int,ct_codcultiv1_int,ct_codcultiv2_int,ct_nclavr,ct_trs,ct_trc,ct_tro,ct_tn,ct_prod,ct_superdida,superdida,ct_sequia,ct_helada,ct_plagas,ct_enfermedades,ct_inundacion,ct_otra,ct_secomun,ct_semejorada,ct_secertificada,ct_sehibrinac,ct_sehibrinter,Ventas,ct_sriego,su_fertilizada,su_plaguicidas,ct_nuevacondicion,fact_exp_fin
1025001182830001,1,2,50,1,18283,1,2,1,548,1,,0,1.0,10.0,19.0,7.0,0.06,0.06,0.06,0.06,,6.0,35.0,100.0,2.0,6.0,,,,,,,5.0,,,,1.0,,,,0,0,6,1,0.06,100.0,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,1.0,1,0.06,0.06,12.0,1.0,548.0,,548.0,1.0,,,4.0,0.272727272727273,0.0,,,,,,,,0.06,,,,,,0.06,,,1,45.4367842512589
1025001182830007,1,2,50,1,18283,7,5,1,548,1,,0,1.0,10.0,19.0,7.0,0.05,0.05,0.04,0.04,1.0,4.0,35.0,100.0,2.0,1.0,,,,,,,3.5,0.5,,,,,,,0,0,6,0,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,1.0,1,0.05,0.05,10.0,1.0,548.0,,548.0,1.0,,,4.0,0.181818181818182,0.01,0.01,0.01,,,,,,0.05,,,,,,,,,1,396.115841351921
1025001191620001,1,2,50,1,19162,1,1,1,548,1,,0,1.0,12.0,19.0,6.0,1.0,1.0,1.0,1.0,,1.0,35.0,100.0,2.0,5.0,,,,,,,0.75,,,,0.25,,,,0,0,4,0,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,1,1.0,1.0,12.0,1.0,548.0,,548.0,1.0,,,4.0,0.0454545454545455,0.0,,,,,,,,1.0,,,,,,,,,1,21.125969869741798
1025001191620002,1,2,50,1,19162,2,1,1,548,2,1.0,0,1.0,10.0,19.0,8.0,0.75,0.75,0.75,0.75,,5.0,35.0,100.0,2.0,5.0,,,,,,,4.0,,,,1.0,,,,0,0,4,0,,,,,,,,1,1,,,15.0,1.0,,,0,,,,,,,,,1,0.0,,,1.0,0.5,5.0,5.0,,,,,,,,,,,,1,0.75,0.75,12.0,0.0,548.0,530.0,548.0,1.0,,,4.0,0.22727272727272704,0.0,,,,,,,,0.75,,,,,,,0.75,0.75,0,17.9726865330132
1025101216290001,1,2,51,1,21629,1,1,1,548,1,,0,1.0,12.0,19.0,7.0,1.5,1.5,1.0,1.0,3.0,8.0,35.0,100.0,2.0,2.0,,,,,,,7.0,,,,1.0,,,,0,0,6,0,,,,,,,,1,1,4.0,3.0,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,1,1.5,1.5,12.0,1.0,548.0,,548.0,1.0,,,4.0,0.363636363636364,0.5,0.5,,,0.5,,,,1.5,,,,,,,1.5,,1,30.090074073473506
1025101216290002,1,2,51,1,21629,2,1,1,548,1,,0,1.0,1.0,20.0,8.0,0.04,0.04,0.04,0.04,,3.0,35.0,100.0,2.0,6.0,,,,,,,2.5,,,,0.5,,,,0,0,6,0,,,,,,,,1,1,2.0,3.0,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,1.0,1,0.04,0.04,12.0,1.0,548.0,,548.0,1.0,,,4.0,0.136363636363636,0.0,,,,,,,,0.04,,,,,,,0.04,,1,218.635692985254
1025101216290003,1,2,51,1,21629,3,5,1,548,1,,0,1.0,2.0,20.0,8.0,0.3,0.3,0.2,0.2,3.0,3.0,35.0,100.0,2.0,2.0,,,,,,,2.0,,,,1.0,,,,0,0,6,1,0.3,100.0,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,2.0,1,0.3,0.3,2.0,1.0,548.0,,548.0,1.0,,,4.0,0.136363636363636,0.1,0.1,,,0.1,,,,0.3,,,,,,0.3,,,1,36.85518472190429
1025101216290004,1,2,51,1,21629,4,2,1,548,1,,0,1.0,1.0,20.0,8.0,0.3,0.3,0.3,0.3,,0.5,35.0,100.0,2.0,1.0,,,,,,,0.4,,,,0.1,,,,0,0,6,0,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,1.0,1,0.3,0.3,1.0,1.0,548.0,,548.0,1.0,,,4.0,0.0227272727272727,0.0,,,,,,,,0.3,,,,,,,,,1,5.4888430540052
1025101216290005,1,2,51,1,21629,5,1,1,548,1,,0,1.0,12.0,19.0,7.0,0.4,0.4,0.4,0.4,,6.0,35.0,100.0,2.0,6.0,,,,,,,5.0,,,,1.0,,,,0,0,6,1,0.4,100.0,,,,,,1,1,10.0,3.0,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,3.0,1,0.4,0.4,12.0,1.0,548.0,,548.0,1.0,,,4.0,0.272727272727273,0.0,,,,,,,,0.4,,,,,,0.4,0.4,,1,8.49562908006946
1025101216290006,1,2,51,1,21629,6,2,1,548,1,,0,1.0,12.0,19.0,6.0,0.07,0.07,0.07,0.07,,2.0,35.0,100.0,2.0,2.0,,,,,,,1.7,,,,0.3,,,,0,0,6,1,0.07,100.0,,,,,,1,1,2.0,3.0,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,3.0,1,0.07,0.07,12.0,1.0,548.0,,548.0,1.0,,,4.0,0.0909090909090909,0.0,,,,,,,,0.07,,,,,,0.07,0.07,,1,57.0629498181146
