Identificador,Id,ual_prov,ual_cant,ual_parr,ual_estr,ual_segm,al_ncues,ct_numt,ct_numl,rc_clacul,ct_k504,ct_k505,ct_prepa_suelo,ct_k506,ct_k507,ct_k508,ct_k509,ct_k510,ct_k510ha,ct_k511,ct_k511ha,ct_k512,ct_k516,ct_k517,ct_k518,ct_k520,ct_afecta_prod,ct_k522,ct_k523,ct_k524,ct_k526,ct_venmernac,ct_venmerint,ct_rdproven1,ct_rdproven2,ct_rdproven3,ct_rdproven4,ct_rdproven5,ct_rdproven6,ct_fconvf,ct_fconvs,ct_seg_agri,ct_kits_agri,ct_presueuti,ct_riego,ct_superf_regada_ha,ct_porc_surc,ct_porc_aspe,ct_porc_micr,ct_porc_gote,ct_porc_nebu,ct_porc_otro,ct_aferti,ct_forg,ct_cant1_fo,ct_umed1_fo,ct_cant2_fo,ct_umed2_fo,ct_cant3_fo,ct_umed3_fo,ct_fqui,ct_cantidad_npk_fq,ct_umed_npk_fq,ct_cantidad_nit_fq,ct_umed_nit_fq,ct_cantidad_fq,ct_umed_fq,ct_cantidad_pot_fq,ct_umed_pot_fq,ct_afito,ct_porg,ct_cantidad_po,ct_umed_po,ct_pqui,ct_cantidad_her_pq,ct_umed_her_pq,ct_color_her_pq,ct_cantidad_ins_pq,ct_umed_ins_pq,ct_color_ins_pq,ct_cantidad_fun_pq,ct_umed_fun_pq,ct_color_fun_pq,ct_cantidad_pq,ct_umed_pq,ct_color_pq,ct_trabocacont,ct_trabfami,ct_piensasem_int,ct_supersem_int,ct_supersemha_int,ct_messiem_int,ct_condcult_int,ct_codcultiv1_int,ct_codcultiv2_int,ct_nclavr,ct_trs,ct_trc,ct_tro,ct_tn,ct_prod,ct_superdida,superdida,ct_sequia,ct_helada,ct_plagas,ct_enfermedades,ct_inundacion,ct_otra,ct_secomun,ct_semejorada,ct_secertificada,ct_sehibrinac,ct_sehibrinter,Ventas,ct_sriego,su_fertilizada,su_plaguicidas,ct_nuevacondicion,fact_exp_fin,repetido
3045251000993377,304525100099337701,3,4,52,51,99,3377,01,2,507,1,,0,3.0,7.0,20.0,11.0,230.0,230.0,230.0,230.0,,10350.0,38.0,215.0,19.0,6.0,10350.0,38.0,215.0,19.0,100.0,,,,,,,,,,0,0,1,1,230.0,100.0,,,,,,1,1,3680.0,3.0,,,,,1,920.0,3.0,920.0,3.0,,,,,1,0.0,,,1.0,230.0,5.0,2.0,230.0,5.0,2.0,230.0,5.0,2.0,,,,9.0,,1,230.0,230.0,7.0,1.0,507.0,,507.0,1.0,,,4.0,1011.4772727272699,0.0,,,,,,,,,,230.0,,,1011.4772727272699,230.0,230.0,230.0,1,1.0,1
3045251000993417,304525100099341701,3,4,52,51,99,3417,01,2,507,1,,0,3.0,7.0,20.0,11.0,230.0,230.0,230.0,230.0,,10350.0,38.0,215.0,19.0,6.0,10350.0,38.0,215.0,19.0,100.0,,,,,,,,,,0,0,1,1,230.0,100.0,,,,,,1,1,3680.0,3.0,,,,,1,920.0,3.0,920.0,3.0,,,,,1,0.0,,,1.0,230.0,5.0,2.0,230.0,5.0,2.0,230.0,5.0,2.0,,,,9.0,,1,230.0,230.0,7.0,1.0,507.0,,507.0,1.0,,,4.0,1011.4772727272699,0.0,,,,,,,,,,230.0,,,1011.4772727272699,230.0,230.0,230.0,1,1.0,1
5035102003300002,503510200330000201,5,3,51,2,330,2,01,1,507,1,,0,1.0,12.0,19.0,4.0,12.0,12.0,10.0,10.0,3.0,200.0,35.0,100.0,19.0,2.0,200.0,35.0,100.0,19.0,100.0,,,,,,,,,,0,0,1,0,,,,,,,,1,0,,,,,,,1,3.0,5.0,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,0.0,,0,,,,,,,507.0,1.0,,,4.0,9.09090909090909,2.0,2.0,,,2.0,,,,12.0,,,,,9.09090909090909,,12.0,,1,30.7995739775358,1
7025602017970001,702560201797000101,7,2,56,2,1797,1,01,2,507,1,,0,2.0,6.0,20.0,10.0,14.0,14.0,14.0,14.0,,1050.0,35.0,100.0,19.0,6.0,1050.0,35.0,100.0,19.0,100.0,,,,,,,,,,0,0,1,1,14.0,100.0,,,,,,1,0,,,,,,,1,,,,,,,60.0,2.0,1,0.0,,,1.0,30.0,5.0,2.0,5.0,5.0,2.0,15.0,5.0,2.0,,,,3.0,4.0,1,14.0,14.0,6.0,1.0,507.0,,507.0,,2.0,,4.0,47.7272727272727,0.0,,,,,,,,,14.0,,,,47.7272727272727,14.0,14.0,14.0,1,56.2539497433163,1
7025602017970002,702560201797000201,7,2,56,2,1797,2,01,2,507,1,,0,3.0,6.0,20.0,10.0,43.0,43.0,43.0,43.0,,4000.0,35.0,100.0,19.0,6.0,4000.0,35.0,100.0,19.0,100.0,,,,,,,,,,0,0,1,1,43.0,100.0,,,,,,1,0,,,,,,,1,,,,,,,200.0,2.0,1,0.0,,,1.0,100.0,5.0,2.0,17.0,5.0,2.0,50.0,5.0,2.0,,,,4.0,,1,43.0,43.0,6.0,1.0,508.0,,507.0,,2.0,,4.0,181.81818181818198,0.0,,,,,,,,,,43.0,,,181.81818181818198,43.0,43.0,43.0,1,9.15431612437512,1
7025602017970003,702560201797000301,7,2,56,2,1797,3,01,2,507,1,,0,2.0,6.0,20.0,10.0,13.0,13.0,13.0,13.0,,1040.0,35.0,100.0,19.0,6.0,1040.0,35.0,100.0,19.0,100.0,,,,,,,,,,0,0,1,1,13.0,100.0,,,,,,1,0,,,,,,,1,,,,,,,60.0,2.0,1,0.0,,,1.0,30.0,5.0,2.0,5.0,5.0,2.0,15.0,5.0,2.0,,,,3.0,,1,13.0,13.0,6.0,1.0,507.0,,507.0,,2.0,,4.0,47.2727272727273,0.0,,,,,,,,,13.0,,,,47.2727272727273,13.0,13.0,13.0,1,23.937644690423998,1
7025602017970004,702560201797000401,7,2,56,2,1797,4,01,2,507,1,,0,2.0,6.0,20.0,10.0,4.0,4.0,4.0,4.0,,240.0,35.0,100.0,19.0,6.0,215.0,35.0,100.0,19.0,100.0,,5.0,,,,20.0,,,,0,0,1,1,4.0,100.0,,,,,,1,0,,,,,,,1,,,,,,,15.0,2.0,1,0.0,,,1.0,7.0,5.0,2.0,11.0,5.0,2.0,5.0,5.0,2.0,,,,3.0,2.0,1,4.0,4.0,1.0,1.0,507.0,,507.0,,2.0,,4.0,10.909090909090901,0.0,,,,,,,,,4.0,,,,9.77272727272727,4.0,4.0,4.0,1,99.97334524876207,1
7025602017970008,702560201797000801,7,2,56,2,1797,8,01,2,507,1,,0,2.0,6.0,20.0,10.0,5.0,5.0,5.0,5.0,,300.0,35.0,100.0,19.0,6.0,300.0,35.0,100.0,19.0,100.0,,,,,,,,,,0,0,1,1,5.0,100.0,,,,,,1,0,,,,,,,1,,,,,,,18.0,2.0,1,0.0,,,1.0,9.0,5.0,2.0,15.0,5.0,2.0,7.0,5.0,2.0,,,,3.0,2.0,1,5.0,5.0,6.0,1.0,507.0,,507.0,,2.0,,4.0,13.6363636363636,0.0,,,,,,,,,5.0,,,,13.6363636363636,5.0,5.0,5.0,1,69.3115019915156,1
7025602017970009,702560201797000901,7,2,56,2,1797,9,01,2,507,1,,1,2.0,6.0,20.0,10.0,6.0,6.0,6.0,6.0,,420.0,35.0,100.0,19.0,6.0,420.0,35.0,100.0,19.0,100.0,,,,,,,,,,0,0,1,1,6.0,100.0,,,,,,1,0,,,,,,,1,,,,,,,24.0,2.0,1,0.0,,,1.0,12.0,5.0,2.0,18.0,5.0,2.0,3.0,5.0,2.0,,,,3.0,1.0,0,,,,,,,507.0,,2.0,,4.0,19.0909090909091,0.0,,,,,,,,,6.0,,,,19.0909090909091,6.0,6.0,6.0,1,2.43677220207152,1
7025602017970010,702560201797001001,7,2,56,2,1797,10,01,2,507,1,,1,2.0,6.0,20.0,10.0,6.0,6.0,6.0,6.0,,400.0,35.0,100.0,19.0,6.0,400.0,35.0,100.0,19.0,100.0,,,,,,,,,,0,0,1,1,6.0,100.0,,,,,,1,0,,,,,,,1,,,5.0,2.0,5.0,2.0,,,1,0.0,,,1.0,10.0,5.0,2.0,15.0,5.0,2.0,5.0,5.0,2.0,,,,3.0,1.0,0,,,,,,,507.0,,2.0,,4.0,18.181818181818198,0.0,,,,,,,,,6.0,,,,18.181818181818198,6.0,6.0,6.0,1,63.556479944075,1
